date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:41	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://crowdytheme.com/robots.txt		(from )
13:40:43	284328/284328	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Aug%202024%2008:10:42%20GMT	https://crowdytheme.com/wp/arolax/it-consultancy-agency/	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/index.html	(from )
13:40:43	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2029%20Aug%202024%2008:10:43%20GMT	https://crowdytheme.com/wp/arolax/it-consultancy-agency/xmlrpc.php	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/xmlrpc.php	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:44	5466/5466	---M-Z	200	added ('OK')	text/css	etag:%22155a-66cd8aaf-25c7234281e288bd;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/animation-addons-for-elementor/assets/css/wcf-addons.css?ver=6.6.1	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/animation-addons-for-elementor/assets/css/wcf-addonsb6a4.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:44	933/933	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e34e0dc66d94a8fd374486ef62252f01%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/comments/feed/	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/comments/feed/index.html	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:45	5061/5061	---M-Z	200	added ('OK')	text/css	etag:%2213c5-66cd75b2-9564624d0c02c014;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/extension-for-animation-addons/assets/css/magnific-popup.css?ver=6.6.1	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/extension-for-animation-addons/assets/css/magnific-popupb6a4.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:45	186950/186950	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e34e0dc66d94a8fd374486ef62252f01%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/feed/	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/feed/index.html	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:45	5157/5157	---M-Z	200	added ('OK')	text/css	etag:%221425-66cd75b2-2d29404d27820ef4;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/extension-for-animation-addons/assets/css/wcf-addons-ex.css?ver=6.6.1	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/extension-for-animation-addons/assets/css/wcf-addons-exb6a4.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:46	25260/25260	---M-Z	200	added ('OK')	text/css	etag:%2262ac-66cd75cd-df7872e2d9aa363d;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/wcf-addons-pro/assets/css/wcf-addons-pro.css?ver=6.6.1	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/plugins/wcf-addons-pro/assets/css/wcf-addons-prob6a4.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:46	2621/2621	---M-Z	200	added ('OK')	text/css	etag:%22a3d-66cdbb13-5d3e16d03292026e;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/themes/arolax/assets/css/meanmenu.min.css?ver=2	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/themes/arolax/assets/css/meanmenu.min77ae.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:46	36475/36475	---M-Z	200	added ('OK')	text/css	etag:%228e7b-66cdbb13-e8cdad3d3afb1657;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/themes/arolax/assets/css/bootstrap.min.css?ver=2	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/themes/arolax/assets/css/bootstrap.min77ae.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
13:40:47	97954/97954	---M-Z	200	added ('OK')	text/css	etag:%2217ea2-66cdbb13-1ee283ed7aeb31c6;gz%22	https://crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/themes/arolax/assets/css/master.css?ver=2	D:/new%20site/testing/crowdytheme.com/wp/arolax/it-consultancy-agency/wp-content/themes/arolax/assets/css/master77ae.css	(from https://crowdytheme.com/wp/arolax/it-consultancy-agency/)
